Zip,City,State,County,population,weight
92337,Fontana,CA,San Bernardino,38868,8.484668374734814e-05
92338,Ludlow,CA,San Bernardino,0,0.0
92339,Forest Falls,CA,San Bernardino,1185,2.5867891386386626e-06
92340,Hesperia,CA,San Bernardino,1185,2.5867891386386626e-06
92341,Green Valley Lake,CA,San Bernardino,203,4.431377174208004e-07
92342,Helendale,CA,San Bernardino,6508,1.4206602290515119e-05
92344,Hesperia,CA,San Bernardino,23003,5.0214270511481146e-05
92345,Hesperia,CA,San Bernardino,80808,0.00017639937275536966
92346,Highland,CA,San Bernardino,61751,0.0001347990009283342
92347,Hinkley,CA,San Bernardino,843,1.8402221467277574e-06
92350,Loma Linda,CA,San Bernardino,843,1.8402221467277574e-06
92352,Lake Arrowhead,CA,San Bernardino,5729,1.2506088586718058e-05
92354,Loma Linda,CA,San Bernardino,21679,4.7324052098352375e-05
92356,Lucerne Valley,CA,San Bernardino,6065,1.323955791210421e-05
92357,Loma Linda,CA,San Bernardino,6065,1.323955791210421e-05
92358,Lytle Creek,CA,San Bernardino,782,1.707062537059438e-06
92359,Mentone,CA,San Bernardino,9056,1.976874467469344e-05
92363,Needles,CA,San Bernardino,5407,1.1803180483222995e-05
92364,Nipton,CA,San Bernardino,0,0.0
92365,Newberry Springs,CA,San Bernardino,2792,6.0947808228516e-06
92366,Mountain Pass,CA,San Bernardino,2792,6.0947808228516e-06
92368,Oro Grande,CA,San Bernardino,1100,2.4012388628713323e-06
92369,Patton,CA,San Bernardino,1100,2.4012388628713323e-06
92371,Phelan,CA,San Bernardino,17882,3.90354121326047e-05
92372,Pinon Hills,CA,San Bernardino,6282,1.37132568514161e-05
92373,Redlands,CA,San Bernardino,33264,7.261346321322909e-05
92374,Redlands,CA,San Bernardino,43633,9.524841391242259e-05
92375,Redlands,CA,San Bernardino,43633,9.524841391242259e-05
92376,Rialto,CA,San Bernardino,87027,0.00018997510410827587
92377,Rialto,CA,San Bernardino,19556,4.268966109301071e-05
92378,Rimforest,CA,San Bernardino,263,5.741143826683276e-07
92382,Running Springs,CA,San Bernardino,4709,1.0279485277510095e-05
92385,Skyforest,CA,San Bernardino,202,4.409547730000083e-07
92386,Sugarloaf,CA,San Bernardino,2140,4.6715010604951375e-06
92391,Twin Peaks,CA,San Bernardino,2479,5.411519219143666e-06
92392,Victorville,CA,San Bernardino,58204,0.00012705609706778457
92393,Victorville,CA,San Bernardino,58204,0.00012705609706778457
92394,Victorville,CA,San Bernardino,35365,7.719982944131334e-05
92395,Victorville,CA,San Bernardino,42741,9.330122748907602e-05
92397,Wrightwood,CA,San Bernardino,4571,9.978238947440783e-06
92398,Yermo,CA,San Bernardino,2098,4.579817394821868e-06
92399,Yucaipa,CA,San Bernardino,54163,0.00011823481866336361
92401,San Bernardino,CA,San Bernardino,1929,4.210899787708e-06
92402,San Bernardino,CA,San Bernardino,1929,4.210899787708e-06
92403,San Bernardino,CA,San Bernardino,1929,4.210899787708e-06
92404,San Bernardino,CA,San Bernardino,61216,0.00013363112566321044
92405,San Bernardino,CA,San Bernardino,30511,6.660381722278838e-05
92406,San Bernardino,CA,San Bernardino,30511,6.660381722278838e-05
92407,San Bernardino,CA,San Bernardino,69222,0.00015110777869607216
92408,San Bernardino,CA,San Bernardino,14434,3.1508619769713466e-05
92410,San Bernardino,CA,San Bernardino,45641,9.963176630937317e-05
92411,San Bernardino,CA,San Bernardino,26563,5.7985552649501094e-05
92413,San Bernardino,CA,San Bernardino,26563,5.7985552649501094e-05
92415,San Bernardino,CA,San Bernardino,26563,5.7985552649501094e-05
92418,San Bernardino,CA,San Bernardino,26563,5.7985552649501094e-05
92423,San Bernardino,CA,San Bernardino,26563,5.7985552649501094e-05
92427,San Bernardino,CA,San Bernardino,26563,5.7985552649501094e-05
93558,Red Mountain,CA,San Bernardino,40,8.731777683168481e-08
93562,Trona,CA,San Bernardino,1723,3.7612132370248233e-06
93592,Trona,CA,San Bernardino,77,1.6808672040099326e-07
91901,Alpine,CA,San Diego,18558,4.051108256106017e-05
